age,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_binary_0,Mjob_binary_1,Mjob_binary_2,Fjob_binary_0,Fjob_binary_1,Fjob_binary_2,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Parental_Education_Avg,Study_Effort_Per_Travel,Social_Free_Time_Ratio,Weekend_vs_Daily_Alcohol,Absenteeism_vs_Health,Grade_Progress
0.4285714285714284,1.0,1.0,0,1,0.3333333333333333,0.3333333333333333,0.0,1,0,0,0,1,1,0,0,0.75,0.5,0.75,1e-06,0.0,0.5,0.08,0.2631578947368421,0.3157894736842105,0.3,0.0,0.0,1.0,0.0,0.0,1.0,False,False,True,False,False,1.0,1.0,1.5,0.0,0.16,0.0368421052631579
0.2857142857142856,0.25,0.25,0,0,1e-06,0.3333333333333333,0.0,0,1,0,0,0,1,1,0,1.0,0.5,0.5,1e-06,0.0,0.5,0.0533333333333333,0.2631578947368421,0.2631578947368421,0.3,0.0,0.0,1.0,0.0,1.0,0.0,False,False,True,False,True,0.25,333333.3333333333,1.0,0.0,0.1066666666666666,0.0368421052631579
0.0,0.25,0.25,2,1,1e-06,0.3333333333333333,1.0,1,0,1,0,1,1,1,0,0.75,0.5,0.25,0.25,0.5,0.5,0.1333333333333333,0.3684210526315789,0.4210526315789473,0.5,0.0,0.0,1.0,0.0,1.0,0.0,False,False,True,True,True,0.25,333333.3333333333,0.5,2.0,0.2666666666666666,0.13157894736842107
0.0,1.0,0.5,1,1,1e-06,0.6666666666666667,0.0,0,1,1,1,1,1,1,1,0.5,0.25,0.25,1e-06,0.0,1.0,0.0266666666666666,0.7894736842105263,0.7368421052631579,0.75,0.0,1.0,0.0,0.0,1.0,1.0,False,False,True,False,True,0.75,666666.6666666667,1.0,0.0,0.0266666666666666,-0.03947368421052633
0.1428571428571428,0.75,0.75,1,0,1e-06,0.3333333333333333,0.0,0,1,1,0,1,1,0,0,0.75,0.5,0.25,1e-06,0.25,1.0,0.0533333333333333,0.3157894736842105,0.5263157894736842,0.5,0.0,1.0,1.0,0.0,1.0,0.0,False,False,True,False,True,0.75,333333.3333333333,0.5,250000.0,0.0533333333333333,0.1842105263157895
0.1428571428571428,1.0,0.75,3,1,1e-06,0.3333333333333333,0.0,0,1,1,1,1,1,1,0,1.0,0.75,0.25,1e-06,0.25,1.0,0.1333333333333333,0.7894736842105263,0.7894736842105263,0.75,1.0,0.0,0.0,0.0,1.0,0.0,False,True,True,True,True,0.875,333333.3333333333,0.3333333333333333,250000.0,0.1333333333333333,-0.03947368421052633
0.1428571428571428,0.5,0.5,1,1,1e-06,0.3333333333333333,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,1e-06,0.0,0.5,0.0,0.631578947368421,0.631578947368421,0.55,0.0,1.0,1.0,0.0,1.0,0.0,False,True,True,True,True,0.5,333333.3333333333,1.0,0.0,0.0,-0.08157894736842097
0.2857142857142856,1.0,1.0,1,1,0.3333333333333333,0.3333333333333333,0.0,1,1,0,0,1,1,0,0,0.75,1e-06,0.75,1e-06,0.0,1e-06,0.08,0.3157894736842105,0.2631578947368421,0.3,0.0,1.0,1.0,0.0,0.0,1.0,False,False,True,False,False,1.0,1.0,750000.0,0.0,80000.0,-0.01578947368421052
0.0,0.75,0.5,1,1,1e-06,0.3333333333333333,0.0,0,1,1,0,1,1,1,0,0.75,0.25,0.25,1e-06,0.0,1e-06,0.0,0.8421052631578947,0.9473684210526316,0.95,1.0,0.0,0.0,0.0,1.0,0.0,False,True,True,True,False,0.625,333333.3333333333,1.0,0.0,0.0,0.10789473684210527
0.0,0.75,1.0,1,1,1e-06,0.3333333333333333,0.0,0,1,1,1,1,1,1,0,1.0,1.0,0.0,1e-06,0.0,1.0,0.0,0.7368421052631579,0.7894736842105263,0.75,0.0,1.0,1.0,0.0,1.0,0.0,False,True,True,False,True,0.875,333333.3333333333,0.0,0.0,0.0,0.013157894736842146
0.0,1.0,1.0,3,1,1e-06,0.3333333333333333,0.0,0,1,1,0,1,1,1,0,0.5,0.5,0.5,1e-06,0.25,0.25,0.0,0.5263157894736842,0.4210526315789473,0.45,1.0,0.0,1.0,1.0,0.0,0.0,False,False,True,False,True,1.0,333333.3333333333,1.0,250000.0,0.0,-0.07631578947368417
